"sample_id","clone_id","clonal_prev"
"1","A","1",0.001043161
"2","A","2",-0.0131920700000001
"3","A","3",0.000371804
"4","A","4",0.001162952
"5","A","5",0.000597523
"6","A","6",0.579006958
"7","A","7",0
"8","A","8",0.00229429399999992
"9","A","9",0.001871015
"10","A","12",0.43170018
"11","A","13",0
"12","A","14",-0.0108222869999998
"13","A","15a",0
"14","A","15b",0
"15","A","18",0.00680830300000013
"16","A","ancestor",-0.000841832999999959
"17","C","1",0.003325596
"18","C","2",0.0075031539999999
"19","C","3",0.001152645
"20","C","4",0.00228968
"21","C","5",0.42361995
"22","C","6",0
"23","C","7",0.004644829
"24","C","8",0.012831856
"25","C","9",0.000571489
"26","C","12",0.000748735
"27","C","13",0.547751994
"28","C","14",0.0280991920000001
"29","C","15a",0
"30","C","15b",0
"31","C","18",-0.0207903030000001
"32","C","ancestor",-0.011748817
"33","D","1",0.00122081
"34","D","2",0.00840727699999999
"35","D","3",0.975694921
"36","D","4",0.002014902
"37","D","5",0.015136217
"38","D","6",0
"39","D","7",0.001411854
"40","D","8",-0.0223552810000001
"41","D","9",0.000220254
"42","D","12",0.001689434
"43","D","13",0
"44","D","14",0.00798341100000011
"45","D","15a",0
"46","D","15b",0
"47","D","18",0.00724187700000001
"48","D","ancestor",0.001334324
"49","E","1",0.001510088
"50","E","2",-0.0209205050000001
"51","E","3",0.001132499
"52","E","4",0.001841073
"53","E","5",0.344082802
"54","E","6",0
"55","E","7",0.004986616
"56","E","8",0.071689699
"57","E","9",0.001399358
"58","E","12",0.003021702
"59","E","13",0.003262519
"60","E","14",-0.00406198899999991
"61","E","15a",0.62169
"62","E","15b",0
"63","E","18",-0.024645728
"64","E","ancestor",-0.00498813399999998
"65","F","1",0.005436322
"66","F","2",0.272973678
"67","F","3",0.001279342
"68","F","4",0.776104888
"69","F","5",0.001226784
"70","F","6",0
"71","F","7",0
"72","F","8",-0.003787539
"73","F","9",0.000812069
"74","F","12",0.002209294
"75","F","13",0
"76","F","14",-8.43479999999999e-05
"77","F","15a",0
"78","F","15b",0
"79","F","18",0.002393218
"80","F","ancestor",-0.0585637080000001
"81","G","1",0
"82","G","2",0.00449840499999998
"83","G","3",0.000762541
"84","G","4",0.00063945
"85","G","5",0.512432183
"86","G","6",0
"87","G","7",0.003039783
"88","G","8",0.00814494199999993
"89","G","9",0.000436053
"90","G","12",0.001195758
"91","G","13",0
"92","G","14",0.0224525609999999
"93","G","15a",0
"94","G","15b",0.435131
"95","G","18",0.00887334500000003
"96","G","ancestor",0.00239397900000005
"97","H","1",0.000476213
"98","H","2",-0.0250501459999999
"99","H","3",0.001086156
"100","H","4",0
"101","H","5",0.427165974
"102","H","6",0.00343772
"103","H","7",0.56775385
"104","H","8",0.0251505459999999
"105","H","9",0.001191541
"106","H","12",-0.002914138
"107","H","13",0
"108","H","14",-0.031640199
"109","H","15a",0
"110","H","15b",0
"111","H","18",0.0376097809999999
"112","H","ancestor",-0.00426729800000003
"113","I","1",0.982852274
"114","I","2",0.033238634
"115","I","3",0.001581491
"116","I","4",0
"117","I","5",-0.00307035
"118","I","6",0.001812505
"119","I","7",0.003478082
"120","I","8",-0.0371057440000001
"121","I","9",0.001021004
"122","I","12",-0.001812505
"123","I","13",0
"124","I","14",-0.001247955
"125","I","15a",0
"126","I","15b",0
"127","I","18",0.0354179220000001
"128","I","ancestor",-0.0161653580000001
"129","J","1",0.000229479
"130","J","2",-0.000216288999999925
"131","J","3",0.000699151
"132","J","4",0
"133","J","5",0.001169406
"134","J","6",0
"135","J","7",0.000463409
"136","J","8",0.0399950909999999
"137","J","9",0.966996665
"138","J","12",0.002371401
"139","J","13",0
"140","J","14",-0.003957016
"141","J","15a",0
"142","J","15b",0
"143","J","18",-0.00097583
"144","J","ancestor",-0.00677546699999998
